path,label,conf,revalidated_manually
.\data\train\subject-1\fall\1_backward_falls\frame001.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame002.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame003.jpg,1,0.4449225068092346,1
.\data\train\subject-1\fall\1_backward_falls\frame004.jpg,1,0.6164695620536804,1
.\data\train\subject-1\fall\1_backward_falls\frame005.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame006.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame007.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame008.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame009.jpg,1,0.5481442213058472,1
.\data\train\subject-1\fall\1_backward_falls\frame010.jpg,1,0.7683424353599548,1
.\data\train\subject-1\fall\1_backward_falls\frame011.jpg,1,0.8347936868667603,1
.\data\train\subject-1\fall\1_backward_falls\frame012.jpg,1,0.8503368496894836,1
.\data\train\subject-1\fall\1_backward_falls\frame013.jpg,1,0.8583075404167175,1
.\data\train\subject-1\fall\1_backward_falls\frame014.jpg,1,0.8561887145042419,1
.\data\train\subject-1\fall\1_backward_falls\frame015.jpg,1,0.8544187545776367,1
.\data\train\subject-1\fall\1_backward_falls\frame016.jpg,1,0.8468606472015381,1
.\data\train\subject-1\fall\1_backward_falls\frame017.jpg,1,0.8511592149734497,1
.\data\train\subject-1\fall\1_backward_falls\frame018.jpg,1,0.8381617069244385,1
.\data\train\subject-1\fall\1_backward_falls\frame019.jpg,1,0.8296447992324829,1
.\data\train\subject-1\fall\1_backward_falls\frame020.jpg,1,0.8413088321685791,1
.\data\train\subject-1\fall\1_backward_falls\frame021.jpg,1,0.8631995916366577,1
.\data\train\subject-1\fall\1_backward_falls\frame022.jpg,1,0.8549976944923401,1
.\data\train\subject-1\fall\1_backward_falls\frame023.jpg,1,0.8066631555557251,1
.\data\train\subject-1\fall\1_backward_falls\frame024.jpg,1,0.8501994609832764,1
.\data\train\subject-1\fall\1_backward_falls\frame025.jpg,1,0.852725088596344,1
.\data\train\subject-1\fall\1_backward_falls\frame026.jpg,1,0.8546794652938843,1
.\data\train\subject-1\fall\1_backward_falls\frame027.jpg,1,0.8470030426979065,1
.\data\train\subject-1\fall\1_backward_falls\frame028.jpg,1,0.8446327447891235,1
.\data\train\subject-1\fall\1_backward_falls\frame029.jpg,1,0.8394877314567566,1
.\data\train\subject-1\fall\1_backward_falls\frame030.jpg,1,0.8331902027130127,1
.\data\train\subject-1\fall\1_backward_falls\frame031.jpg,1,0.830859363079071,1
.\data\train\subject-1\fall\1_backward_falls\frame032.jpg,1,0.8320289850234985,1
.\data\train\subject-1\fall\1_backward_falls\frame033.jpg,1,0.8334612250328064,1
.\data\train\subject-1\fall\1_backward_falls\frame034.jpg,1,0.8315820693969727,1
.\data\train\subject-1\fall\1_backward_falls\frame035.jpg,1,0.8306393027305603,1
.\data\train\subject-1\fall\1_backward_falls\frame036.jpg,1,0.8304973840713501,1
.\data\train\subject-1\fall\1_backward_falls\frame037.jpg,1,0.8272613286972046,1
.\data\train\subject-1\fall\1_backward_falls\frame038.jpg,1,0.8260541558265686,1
.\data\train\subject-1\fall\1_backward_falls\frame039.jpg,1,0.8269186019897461,1
.\data\train\subject-1\fall\1_backward_falls\frame040.jpg,1,0.8268508911132812,1
.\data\train\subject-1\fall\1_backward_falls\frame041.jpg,1,0.8258635997772217,1
.\data\train\subject-1\fall\1_backward_falls\frame042.jpg,1,0.8269103169441223,1
.\data\train\subject-1\fall\1_forward_falls\frame001.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame002.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame003.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame004.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame005.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame006.jpg,1,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame007.jpg,1,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame008.jpg,1,0.7746241688728333,1
.\data\train\subject-1\fall\1_forward_falls\frame009.jpg,1,0.7373555302619934,1
.\data\train\subject-1\fall\1_forward_falls\frame010.jpg,1,0.848301351070404,1
.\data\train\subject-1\fall\1_forward_falls\frame011.jpg,1,0.8021847605705261,1
.\data\train\subject-1\fall\1_forward_falls\frame012.jpg,1,0.8278268575668335,1
.\data\train\subject-1\fall\1_forward_falls\frame013.jpg,1,0.8565760850906372,1
