path,label,conf,revalidated_manually
.\data\train\subject-1\fall\1_backward_falls\frame001.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame002.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame003.jpg,1,0.4449225068092346,0
.\data\train\subject-1\fall\1_backward_falls\frame004.jpg,1,0.6164695620536804,0
.\data\train\subject-1\fall\1_backward_falls\frame005.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame006.jpg,0,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame007.jpg,1,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame008.jpg,1,0.0,1
.\data\train\subject-1\fall\1_backward_falls\frame009.jpg,1,0.5481442213058472,0
.\data\train\subject-1\fall\1_backward_falls\frame010.jpg,1,0.7683424353599548,0
.\data\train\subject-1\fall\1_backward_falls\frame011.jpg,1,0.8347936868667603,0
.\data\train\subject-1\fall\1_backward_falls\frame012.jpg,1,0.8503368496894836,0
.\data\train\subject-1\fall\1_backward_falls\frame013.jpg,1,0.8583075404167175,0
.\data\train\subject-1\fall\1_backward_falls\frame014.jpg,1,0.8561887145042419,0
.\data\train\subject-1\fall\1_backward_falls\frame015.jpg,1,0.8544187545776367,0
.\data\train\subject-1\fall\1_backward_falls\frame016.jpg,1,0.8468606472015381,0
.\data\train\subject-1\fall\1_backward_falls\frame017.jpg,1,0.8511592149734497,0
.\data\train\subject-1\fall\1_backward_falls\frame018.jpg,1,0.8381617069244385,0
.\data\train\subject-1\fall\1_backward_falls\frame019.jpg,1,0.8296447992324829,0
.\data\train\subject-1\fall\1_backward_falls\frame020.jpg,1,0.8413088321685791,0
.\data\train\subject-1\fall\1_backward_falls\frame021.jpg,1,0.8631995916366577,0
.\data\train\subject-1\fall\1_backward_falls\frame022.jpg,1,0.8549976944923401,0
.\data\train\subject-1\fall\1_backward_falls\frame023.jpg,1,0.8066631555557251,0
.\data\train\subject-1\fall\1_backward_falls\frame024.jpg,1,0.8501994609832764,0
.\data\train\subject-1\fall\1_backward_falls\frame025.jpg,1,0.852725088596344,0
.\data\train\subject-1\fall\1_backward_falls\frame026.jpg,1,0.8546794652938843,0
.\data\train\subject-1\fall\1_backward_falls\frame027.jpg,1,0.8470030426979065,0
.\data\train\subject-1\fall\1_backward_falls\frame028.jpg,1,0.8446327447891235,0
.\data\train\subject-1\fall\1_backward_falls\frame029.jpg,1,0.8394877314567566,0
.\data\train\subject-1\fall\1_backward_falls\frame030.jpg,1,0.8331902027130127,0
.\data\train\subject-1\fall\1_backward_falls\frame031.jpg,1,0.830859363079071,0
.\data\train\subject-1\fall\1_backward_falls\frame032.jpg,1,0.8320289850234985,0
.\data\train\subject-1\fall\1_backward_falls\frame033.jpg,1,0.8334612250328064,0
.\data\train\subject-1\fall\1_backward_falls\frame034.jpg,1,0.8315820693969727,0
.\data\train\subject-1\fall\1_backward_falls\frame035.jpg,1,0.8306393027305603,0
.\data\train\subject-1\fall\1_backward_falls\frame036.jpg,1,0.8304973840713501,0
.\data\train\subject-1\fall\1_backward_falls\frame037.jpg,1,0.8272613286972046,0
.\data\train\subject-1\fall\1_backward_falls\frame038.jpg,1,0.8260541558265686,0
.\data\train\subject-1\fall\1_backward_falls\frame039.jpg,1,0.8269186019897461,0
.\data\train\subject-1\fall\1_backward_falls\frame040.jpg,1,0.8268508911132812,0
.\data\train\subject-1\fall\1_backward_falls\frame041.jpg,1,0.8258635997772217,0
.\data\train\subject-1\fall\1_backward_falls\frame042.jpg,1,0.8269103169441223,0
.\data\train\subject-1\fall\1_forward_falls\frame001.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame002.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame003.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame004.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame005.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame006.jpg,0,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame007.jpg,1,0.0,1
.\data\train\subject-1\fall\1_forward_falls\frame008.jpg,1,0.7746241688728333,0
.\data\train\subject-1\fall\1_forward_falls\frame009.jpg,1,0.7373555302619934,0
.\data\train\subject-1\fall\1_forward_falls\frame010.jpg,1,0.848301351070404,0
.\data\train\subject-1\fall\1_forward_falls\frame011.jpg,1,0.8021847605705261,0
.\data\train\subject-1\fall\1_forward_falls\frame012.jpg,1,0.8278268575668335,0
.\data\train\subject-1\fall\1_forward_falls\frame013.jpg,1,0.8565760850906372,0
